City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Contamana,PE,-7.3333,-75.0167,71.2,75,23,0.29,few clouds
278,Dikson,RU,73.5069,80.5464,41.63,86,100,13.24,overcast clouds
279,Ukiah,US,39.1502,-123.2078,63.64,87,0,1.45,clear sky
280,Tsabong,BW,-26.0217,22.401,80.46,24,28,16.4,scattered clouds
281,Padang,ID,-0.9492,100.3543,84.25,84,53,0.92,light rain
282,Benidorm,ES,38.5382,-0.131,92.59,68,6,8.01,clear sky
283,Mecca,SA,21.4267,39.8261,110.57,14,3,18.84,clear sky
284,Bathsheba,BB,13.2167,-59.5167,83.01,78,75,12.66,broken clouds
285,Malpura,IN,26.2833,75.3833,91.42,51,83,7.36,broken clouds
286,Saint-Augustin,CA,51.226,-58.6502,66.16,94,93,10.69,overcast clouds
287,Ixtapa,MX,20.7,-105.2,78.22,100,20,4.61,few clouds
288,Muzhi,RU,65.3667,64.6667,51.06,55,96,11.65,overcast clouds
289,Surt,LY,31.2089,16.5887,84.4,57,0,10.69,clear sky
290,Ransang,PH,8.9603,117.5828,80.42,83,100,0.89,light rain
291,Nelson Bay,AU,-32.7167,152.15,63.0,99,70,10.0,light rain
292,Maceio,BR,-9.6658,-35.7353,76.44,83,75,11.5,broken clouds
293,Tambopata,PE,-12.7333,-69.1833,66.09,88,0,0.0,clear sky
294,Port Hawkesbury,CA,45.6169,-61.3485,73.89,87,75,10.36,broken clouds
295,Selizharovo,RU,56.8519,33.4487,51.04,85,100,11.99,overcast clouds
296,Dungarvan,IE,52.0881,-7.6253,68.54,75,98,14.0,overcast clouds
297,Kuminskiy,RU,58.6667,66.5667,78.3,49,90,7.18,overcast clouds
298,Ternate,ID,0.8,127.4,81.82,75,98,5.26,overcast clouds
299,Ritchie,ZA,-29.038,24.6028,74.19,28,0,10.58,clear sky
300,Necochea,AR,-38.5473,-58.7368,49.59,77,7,9.95,clear sky
301,Ahuimanu,US,21.4447,-157.8378,74.91,82,0,5.75,clear sky
302,Waipawa,NZ,-41.4122,175.5153,49.19,80,44,15.79,scattered clouds
303,Bom Jesus,BR,-9.0744,-44.3586,79.74,43,81,10.8,broken clouds
304,Chapais,CA,49.7834,-74.8492,51.58,94,100,4.41,overcast clouds
305,Victoria,HK,22.2855,114.1577,87.85,82,27,8.01,scattered clouds
306,Floresta,BR,-8.6011,-38.5686,70.95,67,99,17.65,overcast clouds
307,Shellbrook,CA,53.2168,-106.4011,63.81,57,0,6.58,clear sky
308,Kenai,US,60.5544,-151.2583,52.14,96,100,0.0,light rain
309,Puerto Escondido,MX,15.85,-97.0667,78.24,85,96,4.09,overcast clouds
310,Abaza,RU,52.655,90.0928,68.76,47,40,7.09,scattered clouds
311,Moscow,RU,55.7522,37.6156,69.35,67,90,16.08,overcast clouds
312,Porec,HR,45.2258,13.5939,83.05,66,98,7.47,overcast clouds
313,Butajira,ET,8.1167,38.3667,69.06,65,26,3.29,light rain
314,Kilindoni,TZ,-7.9139,39.6668,77.14,73,4,11.77,clear sky
315,Pacific Grove,US,36.6177,-121.9166,57.65,94,100,13.0,overcast clouds
316,Bernal,PE,-5.45,-80.75,61.7,85,66,10.2,broken clouds
317,Royal Palm Beach,US,26.7084,-80.2306,82.36,94,40,0.0,scattered clouds
318,Bayir,TR,37.2687,28.2167,84.72,28,0,9.13,clear sky
319,Mehamn,NO,71.0357,27.8492,49.91,71,75,5.75,broken clouds
